video_id,author,text,published_at,like_count
a35pZ1rPXKM,@felixamoah4978,Her Opoku be fucking guy. I just like him,2025-07-22T19:22:27Z,0
a35pZ1rPXKM,@ON_THE_STREET-g7i,nkwasiafoc fix ur network aaba,2025-06-25T12:32:31Z,0
a35pZ1rPXKM,@smokehimself,Nice🫰🏽,2025-06-19T10:36:48Z,0
a35pZ1rPXKM,@Yourprettyangel,Niceeee,2025-06-19T08:54:26Z,0
a35pZ1rPXKM,@batadelon,Nice one🎉🎉,2025-06-19T01:48:24Z,1
a35pZ1rPXKM,@evansboafo5083,Adi!🤣🤣🤣,2025-06-18T22:09:00Z,0
a35pZ1rPXKM,@evansboafo5083,Adi!🤣🤣🤣,2025-06-18T22:08:57Z,0
a35pZ1rPXKM,@joanadenteh1781,😂❤,2025-06-18T20:15:15Z,0
a35pZ1rPXKM,@mrrainny,Put me down😂😂,2025-06-18T12:43:25Z,0
a35pZ1rPXKM,@tyronekvng8965,😂😂amazing,2025-06-18T12:14:08Z,0
a35pZ1rPXKM,@bishopsonwale5022,Me anka macho die😂😂,2025-06-18T10:50:12Z,0
a35pZ1rPXKM,@erivelle.e,"That should be my account,herh",2025-06-18T10:22:13Z,0
a35pZ1rPXKM,@Petlovers233,"Money will make you feel like a boss, Telecel will do that for us 🫶🏽",2025-06-18T09:54:42Z,0
a35pZ1rPXKM,@DamienScott-b3f,Amazing promo,2025-06-18T05:02:44Z,0
a35pZ1rPXKM,@georgesimpson8271,When we go chop some,2025-06-18T04:49:48Z,2
a35pZ1rPXKM,@mr.agbeko,Landlord go turn tenant 😂🔥..herh Telecel for life🔥🔥,2025-06-17T23:07:21Z,0
a35pZ1rPXKM,@Theunsaid45,I’m looking forward to this cash,2025-06-17T22:58:48Z,0
a35pZ1rPXKM,@kwesiaidoo8328,Opoku cash out,2025-06-17T18:29:32Z,0
a35pZ1rPXKM,@joshuaamoo9657,Man for chop this promo money some,2025-06-17T15:32:50Z,0
a35pZ1rPXKM,@MUSIQUEVIBEZ,When Telecel comes through for you😌🫶🏽,2025-06-17T15:28:47Z,0
a35pZ1rPXKM,@fallybillions,I must win o😂,2025-06-17T15:18:59Z,0
a35pZ1rPXKM,@jbounce3313,😂🥳🙌,2025-06-17T13:58:48Z,0
a35pZ1rPXKM,@michaelsarpongnyamah8430,We go chop money pass 🔥🔥,2025-06-17T13:52:49Z,0
a35pZ1rPXKM,@yeslove1245,👏🏾🔥,2025-06-17T13:51:17Z,0
4B-OD2zKfb8,@kubolor1234,You can do BIG advert yet I am barely able to stream this in 720p. Criminals,2025-09-14T20:07:49Z,0
4B-OD2zKfb8,@likewassaw,Useless network,2025-09-13T12:46:35Z,0
4B-OD2zKfb8,@dcempire8392,Wackiest network,2025-09-13T00:03:08Z,0
4B-OD2zKfb8,@Xvlogs650,Fix your Telecel redsave I did withdrawal and money has been deducted but haven’t reflect on my Telecel cash account. Have called customer care and they are not doing anything over 2 weeks and still,2025-09-08T14:01:54Z,0
vP62n8VU1ns,@ErastusMensah-z9p,I signed up long time koraaa,2025-07-09T19:53:23Z,0
vP62n8VU1ns,@thenanapoku191,Mate wai name 😂😂😂,2025-07-09T19:28:21Z,0
vP62n8VU1ns,@fabulous1007,I just dey wait for the prize 😅,2025-07-09T19:01:29Z,0
vP62n8VU1ns,@WhisperedTruths_Hub,I can’t wait for my prize,2025-07-09T18:49:37Z,0
vP62n8VU1ns,@iamnotime,"You know no Money is too much but you see that weekly prize of 2,000gh I dey eye am 😂
Ebe 2 Moorch",2025-07-09T18:34:54Z,0
vP62n8VU1ns,@SamuelAtiye-e9j3z,"I can't wait to have it, I have been recharging, but no one called, but I have faith I will win",2025-07-09T17:31:53Z,0
JD6AobWSE2k,@Curi0u50ne,"See quin, she has enough..... 😜",2025-07-06T22:25:09Z,0
JD6AobWSE2k,@brdJr1,I used vodaphone once.,2025-02-11T06:47:12Z,0
JD6AobWSE2k,@kwsktvYT,How do I register,2021-12-27T11:53:59Z,0
JD6AobWSE2k,@SixTheDeserter,🧐🤔,2021-11-02T22:53:16Z,0
JD6AobWSE2k,@charlesasabre4788,"I really hate this network
I bought 10 gh cedis credit and recharge on my phone and the next morning , I went to check my balance It was 0.00000",2021-04-11T17:06:20Z,2
JD6AobWSE2k,@Koby_stan,K_stan. Plz subscribe to my channel,2021-03-09T00:51:39Z,0
JD6AobWSE2k,@adufosuemmanuel2336,i love vodafone,2020-08-04T18:52:28Z,2
iBKx52sBO_g,@asensoowusugideon655,Nice network,2025-02-14T17:35:01Z,0
iBKx52sBO_g,@adjeiedem7972,😢,2025-02-14T13:12:27Z,0
iBKx52sBO_g,@jargocityclosed,Hahaha,2025-01-16T14:42:20Z,0
iBKx52sBO_g,@abasskoomson3702,The best network so far,2025-01-15T15:35:55Z,0
iBKx52sBO_g,@Hardcore-wx8tw,This is nice,2024-12-05T09:23:11Z,0
iBKx52sBO_g,@AdamsShapiro,This guy is really serious 😂,2024-12-04T18:59:21Z,0
iBKx52sBO_g,@amidumohammed7696,Very nice,2024-12-04T18:39:08Z,0
iBKx52sBO_g,@richmondpeprah1050,T'cel the beat,2024-11-18T14:55:29Z,0
iBKx52sBO_g,@kofispytv5703,The best network so far ❤,2024-11-05T15:52:48Z,0
iBKx52sBO_g,@eugeniaagyemang4161,I really love Vodafone adverts,2024-11-05T14:39:22Z,0
iBKx52sBO_g,@BenardOppong-t8y,Best Network so far,2024-11-05T14:24:53Z,0
iBKx52sBO_g,@braboaten,this guy is funny,2024-10-29T14:35:01Z,0
iBKx52sBO_g,@danielnunekpeku9761,"Amazing advertisement, I love it",2024-10-29T14:16:28Z,0
iBKx52sBO_g,@PrinceAcheampong-f7d,Talk more pay less,2024-10-19T20:19:20Z,0
iBKx52sBO_g,@highpriest3051,"Wow, tictak",2024-10-19T19:35:28Z,0
iBKx52sBO_g,@asimengamponsah8566,Oyi ma de,2024-08-22T18:20:27Z,0
iBKx52sBO_g,@thomasthompson6648,Which advertising agency produced this advert,2024-07-26T21:06:08Z,0
iBKx52sBO_g,@osikamedia9220,Kuul Chop,2024-05-16T18:30:27Z,0
iBKx52sBO_g,@YakubuAbdulNasiru-ow7hy,Nice,2024-05-16T17:14:31Z,0
iBKx52sBO_g,@emmanuelcisco5697,One Ghana promo all the way,2024-05-16T15:21:50Z,0
iBKx52sBO_g,@richardsonpapakwadwoadu-gy7967,Hahaha,2024-04-25T16:43:02Z,0
iBKx52sBO_g,@johnfelix4915,😂😂😂,2024-04-25T15:56:05Z,0
iBKx52sBO_g,@benniekofiemmanuel5734,Nice one,2024-03-23T15:11:48Z,0
iBKx52sBO_g,@KwadwoAmoaApeadu,Very efficient,2024-02-28T14:42:32Z,0
iBKx52sBO_g,@VivianTenkorang-h2j,Vodafone power to u,2024-02-28T14:41:07Z,0
iBKx52sBO_g,@HarunaMohammed1,This is an interesting advertisement,2024-02-09T09:50:36Z,0
iBKx52sBO_g,@bridgetafranewaabrobbey7441,Nice advert😅,2024-02-09T09:23:35Z,0
iBKx52sBO_g,@princedottor5709,😂,2023-11-27T10:09:26Z,0
iBKx52sBO_g,@CourageAgbenya-ng7hp,Nice advert ❤❤❤❤,2023-11-27T10:09:25Z,0
iBKx52sBO_g,@isaacyeboah2219,🎉,2023-11-27T10:08:48Z,0
iBKx52sBO_g,@amoakoattageorge6451,Best promo runners ❤❤,2023-11-07T15:43:04Z,0
iBKx52sBO_g,@mbebucas,Nice,2023-11-07T15:31:03Z,0
iBKx52sBO_g,@lydiaasanta,Vodafone 👍,2023-11-07T15:30:24Z,0
iBKx52sBO_g,@adomahprince2853,thank you vodafonegh for fixing our 4g network at my area but still the internet speed too slow kindly fix the speed for urs  thanks again,2023-07-04T22:29:45Z,0
iBKx52sBO_g,@Freedomofficial1,😂😂😂😂😂,2023-03-12T10:18:15Z,2
iBKx52sBO_g,@ferdinandodamekusi279,"This guy made the advert a wonder!
He acts so well. Voda has got really lovely adverts",2023-02-12T16:13:52Z,2
iBKx52sBO_g,@asamoahoppongzadok9059,Real nkb😂😂,2023-02-06T06:17:40Z,0
iBKx52sBO_g,@wood_creates,"real nkb my boi that. am now enjoying this promo. that you vodafone, na that over hype network company de3 hmm",2023-01-15T21:18:04Z,0
iBKx52sBO_g,@aarthurtech33,😂 enjoying this promo now,2022-12-27T10:16:23Z,1
iBKx52sBO_g,@Dee-OD,The boss' reaction lol😍,2022-12-27T10:08:13Z,0
iBKx52sBO_g,@nanadabanka589,I Love this guy,2022-12-27T10:03:43Z,0
mTIyBri1UVc,@MixaNoise-f7j,I'm excellency lot of the conversation must be in came about the program 2025 music award GhanaTelecel SIM Lara of the conversation about the minister of the communication across the African continent part of Ghana minister of the communication I'm not to the person came to the sport so many people produce process and so many people progress I received so many Lord of the conversation of the YouTube channel GhanaTelecel  I received about the music nomination award 2025 but I'm apologise to the attention of the minister of the communication part of the African country in Ghana we have the Lord of The Talented young boys and women about the music talented across the Ghana stars I received the award winner of the music award winner and GhanaTelecel MIS because of I know a lot of the conversation must be educated about the days music award winner anyone must know about the maps I'm excellency about the Ghanaians must be in education in university and college SS and GHS in primary about the Education education English about the victory I speak about the who must be know what is world must be moved in investment about the journalists about the TV station journalism and FM radio journalism and newspaper journalism across the national Security is about the media charts national Security CIA national security and FBI intelligence national Security across the media national security officers across the world planet most we have the world we have the planet we have the divider we have this Sanchez so if you look at that but the air-con and analysed call and video call in mobile network called in international call in voice call in airport so almost been tracked of the maps so anyone is a man and woman try to trace your country maps even it is European country even eating African country when you are educated even why women when were indicated even European country were educated of the African country or Arab country or French country who wears South north east or even you are men even while women you are mostly educated try try to trace it your country m a p s Google account Gmail show you all the population in your country in the destination of the people across the world but I'm not the person to came to spawn so many people through their what is mean of the progress meaning of the progress that's the 2025 music award and comment to how much the people mostly educated as not being understand what I'm speak to what I'm looking for need to explain to the public of the people about the directors in GhanaTelecel music award 2025 to explaining my True destination about the intelligent maps national Security about the intelligent National  to report my destination about the because of I know about the planet must be treated so many people destination m a t s must be treated so many people destination to anyone must be educated must been try to semi-final give issues about the media directors YouTube channel because of the more you watch YouTube channel the more your destination personality two nomination must have been came out about the media accounted and media journalists and YouTube accountant if you look at the YouTube account in YouTube journalism and YouTube directors in sponsors YouTube channel the more you have watch any programs in due to the more you are mostly came out to your destination in so many platform Media chat congratulation to give so many people advice in YouTube channel Media account who must be educated to the necessary victim about the primary school about the ladies and men's rumours in educated about the GHS about the men and women who must be educated about the GSS about a man and woman who must be educated about the SS about the men and women who must be educated about the University about the men and women and women in educated about does victory necessary degree members degree members and women and men and excellency of the case products in Ghana directors in sponsors and management about the disc Ghana product GhanaTelecel SIM Maps Music🎤🎼🎹🎶,2025-06-10T19:04:14Z,1
mTIyBri1UVc,@MixaNoise-f7j,I'm excellency GhanaTelecel SIM,2025-06-10T18:46:44Z,1
mTIyBri1UVc,@MixaNoise-f7j,I wish Ghana telecel network products in Ghana Muslim try to in one must be complicated in communicated in online media chart to business so how you feel when I watch it live in YouTube channel recognise my destination since the time I bought the SIM card SMS so unbelievable maybe must be crazy to my destination how much being been find it in search it true destination the time I bought the same my destination SMS SIM I wish all the directors business,2025-06-08T11:59:54Z,0
mTIyBri1UVc,@MixaNoise-f7j,I wish this product telesale Ghana when I'm watching live in YouTube China Dr speak about their businesses you try to be a responsible to connect it in your destination so what I'm trying to following online media SMS Ghana network telesale Ghana network business so I following this comment business I think about the 8 hours I see the telesale Ghana programme about the 8 hours in YouTube channel so I following the comment so I stand it of my destination in Maps Ghana  this product must be in our Ghana languages in Ghana language in Ghana country Ghana regions so it is m a p s Ghana most being caught anyone must born in Ghana heavy wire born in Ghana she must be counting your destination so I'm recognise what's my destination any the time I start the use SIM SMS so I need the,2025-06-08T11:56:52Z,0
mTIyBri1UVc,@evelynrobertson3656,Where’s this years own I have searched saaaaa,2025-05-15T21:22:41Z,0
mTIyBri1UVc,@JenniferNkuah-t8n,Why didn't blacko win any award?😢,2025-05-14T20:39:19Z,0
mTIyBri1UVc,@Kofimannesseh,Hmmmm shatta wale aww my boss❤❤❤❤,2025-05-13T15:32:56Z,0
mTIyBri1UVc,@hilaryyoumans7187,Rodriguez Brian Gonzalez Brenda Harris John,2024-09-14T00:57:32Z,0
mTIyBri1UVc,@RuylingAppau-te8su,@Stonebwoy congratulations boss❤🎉🎉,2024-07-07T02:59:40Z,0
mTIyBri1UVc,@albah289,5:50:30,2024-06-18T23:19:14Z,0
mTIyBri1UVc,@sheikhosmandembele,Since i started watching gma never seen Daddy Lumba performing,2024-06-05T16:34:34Z,0
mTIyBri1UVc,@yxnglevs3644,Wack show,2024-06-05T11:49:37Z,0
mTIyBri1UVc,@SamuelOdame-zf9dk,"DJ 
You are too much ❤❤❤",2024-06-05T11:48:03Z,1
mTIyBri1UVc,@jacklinainoo9387,So nothing for medikal . Thats crazy😂,2024-06-05T03:56:34Z,0
mTIyBri1UVc,@mickydestillfreh9544,"SM for lyf, see the fans",2024-06-05T03:12:06Z,1
mTIyBri1UVc,@RexBoatengMusic,The sound man during king promise’s performance was just playing with the knobs on the soundboard 😢😢It’s so embarrassing that we still struggle with this one thing. It’s like they never prep for these stuff and try to figure things out during the event.,2024-06-04T20:59:58Z,0
mTIyBri1UVc,@machienzie,The best performance hands down is Mr. Drew. Showmanship be what!!!  Mahn big ups to him,2024-06-04T17:31:28Z,2
mTIyBri1UVc,@obaapachiling9275,Beautiful 😍❤❤United the Raggae Art,2024-06-04T12:19:33Z,1
mTIyBri1UVc,@obaapachiling9275,Wonderful performance by nacee,2024-06-04T12:04:52Z,1
mTIyBri1UVc,@obaapachiling9275,"Wow
Stone's performance ❤😊❤🎉",2024-06-04T11:48:30Z,1
mTIyBri1UVc,@danieladufrimpong7009,Afya is tooooooo much,2024-06-04T09:05:08Z,1
mTIyBri1UVc,@MaameAyeh-xv8ms,I know next year Pheetman will win an award,2024-06-04T08:07:54Z,0
mTIyBri1UVc,@princeyeboahpeprah8502,DJ BLACK REALLY GOOD 😊,2024-06-04T05:14:11Z,1
mTIyBri1UVc,@princeyeboahpeprah8502,Shoutouts to Kumasi neggars dem be supportive pass 🎉🎉,2024-06-04T05:09:47Z,0
mTIyBri1UVc,@Lorigns13567,I really don’t get what was special about that collab from stone and Angelique ? It was boring. There’s no that was the best international collab while we have black sherif and odumudu,2024-06-04T00:24:21Z,1
mTIyBri1UVc,@obaapachiling9275,😅🤣😆😆😆,2024-06-03T19:23:47Z,0
mTIyBri1UVc,@IamnyamedoMelody,Blacko ❤,2024-06-03T13:10:15Z,0
mTIyBri1UVc,@stephenadabo7685,I can't stop watching Nacee performance he is my number 1 what a performance.,2024-06-03T08:50:18Z,7
mTIyBri1UVc,@benardmensah7688,Asei be crazy good!!,2024-06-03T07:51:20Z,0
mTIyBri1UVc,@kofiliman4002,Kwesi still the show aswear 😂😂❤❤,2024-06-03T03:55:02Z,1
mTIyBri1UVc,@ycer008,Amawuga n kin Paluta were given less than 5mins to perform but stonebwoy had more tym. It's not fair,2024-06-03T02:16:56Z,3
mTIyBri1UVc,@ycer008,There is a different btn high life artist n high life song. Pls understand that next year we beg.,2024-06-03T02:15:35Z,2
mTIyBri1UVc,@ycer008,The high life artist of the year was supposed to be given to kinaata or Akwaboah for their consistentcy in the high life field,2024-06-03T02:13:48Z,2
mTIyBri1UVc,@ycer008,Giving the high life artist to Eugene was wrong. The fact that he made hit high life song doesn't mean he is a high life artist.,2024-06-03T02:12:20Z,3
mTIyBri1UVc,@ISAACOWUSU-r7q,Scam! Scam! Scam !,2024-06-02T23:45:32Z,0
mTIyBri1UVc,@ISAACOWUSU-r7q,"Numbers don't lie ... If you combined all the hits' songs  views of Stoneboy it cannot be compare to King Promise Terminator views 
Ghana Yeka nokore kakra",2024-06-02T23:42:38Z,2
mTIyBri1UVc,@abdulrazakmusah5424,Awww big congratulations to the world 🌎,2024-06-02T23:42:32Z,1
mTIyBri1UVc,@thankgodchukwu5019,How come Ghana record of the year is not viral 🤔,2024-06-02T21:11:15Z,0
mTIyBri1UVc,@ladyBunny1,The locally acquired foreign accents were off the chart! Eii Ghanafo)! Miracle workers! 😂,2024-06-02T18:40:04Z,0
mTIyBri1UVc,@vicentiasolomon3278,"Are they still using hand mic these days,Ghana is way behind what a shame",2024-06-02T18:38:36Z,0
